,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age,Sex_F,Sex_I,Sex_M
0,1.4375,1.175,0.4125,24.6357155,12.3320325,5.5848515,6.747181,9,True,False,False
1,0.8875,0.65,0.2125,5.40057975,2.2963095,1.37495075,1.5592225,6,False,False,True
2,1.0375,0.775,0.25,7.95203475,3.231843,1.60174675,2.76407625,6,False,True,False
3,1.175,0.8875,0.25,13.48018725,4.74854125,2.28213475,5.2446575,10,True,False,False
4,0.8875,0.6625,0.2125,6.90310325,3.458639,1.48834875,1.70097,6,False,True,False
5,1.55,1.1625,0.35,28.6613445,13.5794105,6.76135575,7.2291225,8,True,False,False
6,1.3,1.0,0.325,17.70426275,6.0951425,5.85417175,4.819415,15,True,False,False
7,1.325,1.0125,0.375,23.57260925,9.979024,5.3013565,7.15824875,10,False,False,True
8,1.5875,1.25,0.4125,42.2124055,20.2698925,9.76640275,10.24834425,13,False,True,False
9,0.9125,0.6875,0.3375,6.80388,3.061746,1.26155275,2.08368825,7,False,True,False
10,0.825,0.5375,0.1875,3.24601775,1.2757275,0.75126175,0.9922325,6,False,False,True
11,1.3625,1.05,0.4375,21.375523,7.257472,5.03203625,7.7961125,10,True,False,False
12,0.8625,0.6375,0.225,5.68407475,2.664853,0.83631025,1.7860185,9,False,False,True
13,1.375,1.075,0.3625,20.184844,8.57572375,4.309124,6.3786375,10,False,True,False
14,1.225,0.95,0.3,14.9968855,6.13766675,3.9405805,4.3941725,11,False,True,False
15,1.6375,1.2875,0.5,42.354153,20.56756225,8.7599955,11.4815475,12,True,False,False
16,1.6,1.3125,0.45,37.23706825,13.79203175,8.49067525,11.55242125,10,False,False,True
17,1.0625,0.775,0.225,8.5331995,3.92640575,1.8427175,2.26796,7,False,True,False
18,1.475,1.1,0.375,27.08794725,10.375917,6.87475375,8.3631025,11,False,False,True
19,0.7625,0.575,0.1875,4.12485225,1.68679525,0.86465975,1.417475,6,False,True,False
20,1.1125,0.8,0.3,11.736693,5.6415505,2.551455,3.3168915,7,False,False,True
21,1.625,1.3125,0.475,39.2640575,25.16018125,8.77417025,11.4815475,11,True,False,False
22,0.925,0.6875,0.2375,7.2858215,2.87747425,1.5592225,2.33883375,6,False,True,False
23,0.575,0.4375,0.1625,1.82854275,0.737087,0.29766975,0.56699,5,False,True,False
24,1.2625,0.975,0.325,19.107563,8.97261675,3.9972795,5.06038575,9,True,False,False
25,1.2625,1.0,0.3875,23.85610425,7.69688925,5.03203625,8.0796075,12,False,False,True
26,1.3375,1.075,0.35,20.31241675,8.09378225,4.52174525,6.10931725,8,False,False,True
27,1.525,1.2125,0.4375,35.28095275,15.422128,8.4198015,9.7805775,12,False,False,True
28,1.575,1.2875,0.4,37.874932,15.6772735,9.08601475,9.922325,11,True,False,False
29,1.0875,0.8125,0.3,11.32562525,5.14543425,1.7293195,3.18931875,8,False,True,False
30,1.0625,0.875,0.2625,11.1413535,3.685435,1.7860185,4.6776675,9,False,False,True
31,1.25,0.95,0.3375,14.98271075,6.406987,3.4869885,5.9250455,8,False,True,False
32,1.2625,0.975,0.4625,17.36406875,7.5693165,4.025629,4.876114,7,False,True,False
33,1.4875,1.1875,0.425,35.3518265,13.60776,6.3786375,12.0485375,20,True,False,False
